
* Step -1
RZ           1   15203
       1    4.5974383500E+001    9.8776920800E+001    1.8208004400E+001
       2    4.7226680100E+001    9.7771909800E+001    1.5127613400E+001
       3    4.7776437000E+001    9.4790882100E+001    2.0945444200E+001
       4    4.0029196900E+001    1.0127954410E+002    2.1092399500E+001
       5    4.3652700800E+001    9.8811618100E+001    2.1261754500E+001
       6    4.0246125100E+001    9.7295982500E+001    2.1357999800E+001
       7    4.4440082400E+001    1.0039793670E+002    1.5655907100E+001
       8    4.1765389100E+001    1.0182391880E+002    1.7590107000E+001
       9    3.6702266500E+001    9.9356186300E+001    2.1357999800E+001
      10    3.8656217100E+001    9.9611821300E+001    1.8908274200E+001
      11    3.6311872100E+001    1.0269386640E+002    2.0566152200E+001
      12    4.1678429700E+001    1.1021688780E+002   -2.5453421000E+000
      13    4.7179252013E+001    9.8730934016E+001   -7.0123641074E+000
      14    4.4654072500E+001    9.5760906500E+001    1.7080318000E+001
      15    4.2098826300E+001    9.4977326600E+001    2.1357999800E+001
      16    4.4343898900E+001    9.1702135700E+001    2.1357999800E+001
      17    4.6543928300E+001    9.3288456300E+001    1.7271825000E+001
      18    4.9154349300E+001    9.4613015300E+001    1.5228644800E+001
      19    4.9541493500E+001    9.2895450100E+001    1.8270615200E+001
      20    4.6855792300E+001    9.1311090300E+001    1.8433928100E+001
      21    4.8683325100E+001    9.0586045700E+001    2.1231481100E+001
      22    5.0270355100E+001    8.8738809100E+001    1.8397216000E+001
      23    5.0050327300E+001    9.2861217900E+001    1.2921927000E+001
      24    4.3157674500E+001    9.8273455000E+001    1.2959168900E+001
      25    4.7000149500E+001    9.8683840100E+001    1.0172256600E+001
      26    4.5755886100E+001    9.4841984500E+001    1.2758263000E+001
      27    4.9570018900E+001    9.4746870500E+001    1.0318957900E+001
      28    4.2449065500E+001    1.0223584080E+002    1.0070168200E+001
      29    4.1169110800E+001    1.0244440110E+002    1.4085276100E+001
      30    3.7509732900E+001    1.0330735860E+002    1.5547380500E+001
      31    4.8276734800E+001    9.7587306000E+001    6.6596197000E+000
      32    4.6672548000E+001    9.9656077400E+001   -4.0702418000E+000
      33    4.8754131300E+001    9.7805938700E+001    6.9999270000E-001
      34    4.8988490485E+001    9.6679401589E+001   -4.3850001130E+000
      35    4.6384329000E+001    1.0048079100E+002    7.0002120000E-001
      36    4.4492974500E+001    1.0175773570E+002   -1.3815066000E+000
      37    4.6048343200E+001    1.0024208720E+002    5.3072937000E+000
      38    4.5574677000E+001    9.7533827400E+001    2.5235996000E+000
      39    4.2350444000E+001    1.1029208020E+002    1.5591186000E+000
      40    4.1079747400E+001    1.1003904270E+002    5.2764463000E+000
      41    3.9172445100E+001    1.0869162110E+002    8.4547007000E+000
      42    3.6415858900E+001    1.0998174830E+002    6.2094135000E+000
      43    3.7694702300E+001    1.1058497300E+002    9.4653480000E-001
      44    3.3924005400E+001    1.0998868730E+002   -1.6304300000E+000
      45    3.7500866500E+001    1.1021240580E+002   -3.5385602000E+000
      46    3.3757273270E+001    1.0962008170E+002   -5.6111598853E+000
      47    5.0773459200E+001    9.4014584200E+001    6.9946720000E-001
      48    4.7111167697E+001    9.6681360198E+001   -1.0416539193E+001
      49    4.9293022749E+001    9.5564381979E+001   -7.6210836148E+000
      50    4.6285418500E+001    9.5055160400E+001   -7.2517539000E+000
      51    4.4725658600E+001    9.7750557700E+001   -7.1822224000E+000
      52    4.3635892241E+001    1.0176753491E+002   -6.5300536171E+000
      53    3.9360890095E+001    1.0947503148E+002   -6.3949834335E+000
      54    3.5678226845E+001    1.0910811226E+002   -8.2953356047E+000
      55    4.2626068100E+001    1.0332807920E+002   -3.6357023000E+000
      56    4.1959651476E+001    1.0672385556E+002   -4.2999900166E+000
      57    3.9511059300E+001    1.0737653190E+002   -1.8958976000E+000
      58    3.2655682800E+001    1.0998712230E+002    1.4703091000E+000
      59    4.4778572400E+001    1.0036775980E+002   -9.6242116002E+000
      60    3.7142338200E+001    9.6136504100E+001    2.1357999800E+001
      61    3.3816357900E+001    9.7710866100E+001    2.1357999800E+001
      62    3.3848839600E+001    1.0061049760E+002    1.8117487300E+001
      63    3.4325281500E+001    9.3951575000E+001    2.1357999800E+001
      64    3.2815104800E+001    1.0263640660E+002    2.0688887700E+001
      65    3.2152073039E+001    1.0859014094E+002   -8.7547461928E+000
      66    3.6984083400E+001    9.2423314100E+001    2.1357999800E+001
      67    2.9199820937E+001    1.0891445456E+002   -7.0747099988E+000
      68    2.9456415200E+001    1.0946402600E+002   -2.0335141000E+000
      69    5.0750672567E+001    9.2158501520E+001   -5.9580980316E+000
      70    5.1026938800E+001    9.2259656200E+001   -2.6300009000E+000
      71    4.0851860300E+001    9.6265394500E+001    1.7909125800E+001
      72    4.0796040800E+001    9.1507567200E+001    2.1357999800E+001
      73    3.9759771100E+001    9.9866753800E+001    1.4681400400E+001
      74    3.6249545500E+001    9.8112885500E+001    1.7654244300E+001
      75    3.3895142900E+001    9.5645807900E+001    1.9190007700E+001
      76    4.3316794000E+001    1.0637982340E+002    8.0541600000E-001
      77    4.3510937000E+001    1.0196799140E+002    6.8644099000E+000
      78    4.1712225400E+001    1.0596858770E+002    6.1868504000E+000
      79    4.5787163800E+001    9.6155962900E+001   -4.6461175000E+000
      80    4.7387170700E+001    9.4322348100E+001   -1.2961705000E+000
      81    4.7466845600E+001    9.3566673900E+001   -4.8515681000E+000
      82    4.3828111400E+001    9.1957965900E+001    1.7282333900E+001
