
* Step -1
RZ           1   11183
       1    3.3341997600E+001    4.2650385400E+001    3.3556762900E+001
       2    3.9528740600E+001    4.3518481300E+001    3.3198232400E+001
       3    3.7598664300E+001    4.0195818600E+001    3.3540691200E+001
       4    3.5539146800E+001    4.1469278000E+001    3.3554827000E+001
       5    3.3589468600E+001    4.0082080800E+001    3.3534985600E+001
       6    3.5584971600E+001    4.4131732500E+001    3.3147193900E+001
       7    3.9645914500E+001    3.8975530000E+001    3.2722906100E+001
       8    3.5624679800E+001    3.8866595400E+001    3.3018244100E+001
       9    3.4112435200E+001    4.3134274200E+001    3.1490244100E+001
      10    3.9015138100E+001    4.3070228300E+001    3.0771393400E+001
      11    3.1397822400E+001    4.4479867900E+001    3.2030377100E+001
      12    3.3468385200E+001    4.5297170300E+001    3.0521919500E+001
      13    3.7786759300E+001    4.5081573900E+001    3.1928788900E+001
      14    4.1038516700E+001    4.2790248800E+001    3.0643853000E+001
      15    3.9939839200E+001    4.5055863300E+001    3.0616180600E+001
      16    3.0872544100E+001    4.1601172700E+001    3.2201207300E+001
      17    3.8062921100E+001    4.0529147700E+001    3.1132715800E+001
      18    3.7043593800E+001    4.2785369800E+001    3.0714690000E+001
      19    3.4693566500E+001    4.0835001600E+001    3.1055959700E+001
      20    3.1780070100E+001    3.8626632100E+001    3.2415956600E+001
      21    3.6054609400E+001    4.5317681500E+001    3.0326271500E+001
      22    4.0909733000E+001    3.8968815800E+001    3.0667004400E+001
      23    3.8327896600E+001    3.7696331800E+001    3.0462378200E+001
      24    3.5539599500E+001    3.7651566900E+001    3.0296587800E+001
      25    3.2600008500E+001    4.2598696600E+001    2.9929910700E+001
      26    3.4619756700E+001    4.3312581400E+001    2.9353022500E+001
      27    3.9377966700E+001    4.1163630800E+001    2.9146928700E+001
      28    3.9337552200E+001    4.3631198800E+001    2.8788923500E+001
      29    3.0539733100E+001    4.2946982700E+001    2.9236438300E+001
      30    3.1401261300E+001    4.5296481900E+001    2.7899411700E+001
      31    3.4640534800E+001    4.5593599900E+001    2.7715624900E+001
      32    3.8043061700E+001    4.5578934200E+001    2.7852436000E+001
      33    4.1848183400E+001    4.0715523100E+001    2.8414108900E+001
      34    4.1891167900E+001    4.2986935900E+001    2.8297030200E+001
      35    4.1294631000E+001    4.5047168200E+001    2.8096983100E+001
      36    3.2867504800E+001    3.7626343700E+001    3.0203819200E+001
      37    3.2529022000E+001    4.5790547400E+001    2.5852819500E+001
      38    3.0542748900E+001    4.0369135000E+001    2.9269272400E+001
      39    3.1390804700E+001    3.7344194300E+001    2.8031530900E+001
      40    4.1251226700E+001    3.7631438300E+001    2.8364836200E+001
      41    3.3469546600E+001    3.9325048500E+001    2.9091402700E+001
      42    3.6457129700E+001    4.0357391800E+001    2.8486788500E+001
      43    3.6859629700E+001    4.3229538000E+001    2.7666189100E+001
      44    3.3820251100E+001    3.7037926300E+001    2.8002448200E+001
      45    3.9190232200E+001    3.9717641100E+001    2.7128646000E+001
      46    3.7040271100E+001    3.7060261100E+001    2.8084091200E+001
      47    3.3456122900E+001    4.1990638300E+001    2.7089210700E+001
      48    4.0049654100E+001    4.2159251800E+001    2.6540500600E+001
      49    4.0974540000E+001    4.3576565100E+001    2.5968412100E+001
      50    3.8316476600E+001    4.4082515900E+001    2.5930940600E+001
      51    3.0279018700E+001    4.2561321400E+001    2.6276281900E+001
      52    3.2041249100E+001    4.3268175300E+001    2.5267244700E+001
      53    3.0726118800E+001    4.5482359300E+001    2.3837626200E+001
      54    3.4153241700E+001    4.4373237100E+001    2.5130421000E+001
      55    3.3493882800E+001    4.6004639600E+001    2.3825942500E+001
      56    3.5642975600E+001    4.5805131600E+001    2.5712959300E+001
      57    4.0108141800E+001    4.5788843300E+001    2.5864505500E+001
      58    4.2615947800E+001    4.1763669600E+001    2.6301402200E+001
      59    4.2563988100E+001    3.8727246700E+001    2.6442760700E+001
      60    3.0277294300E+001    4.0234795600E+001    2.6255436800E+001
      61    3.2506416600E+001    3.8724116900E+001    2.6483834800E+001
      62    4.3370298000E+001    4.3976568500E+001    2.4226250000E+001
      63    4.2186506700E+001    4.5857479800E+001    2.3881935800E+001
      64    3.2403135100E+001    3.6517623600E+001    2.6057235300E+001
      65    3.0838017400E+001    3.6407176800E+001    2.4041821600E+001
      66    4.0606565700E+001    3.8291215700E+001    2.5369313500E+001
      67    3.9624912500E+001    3.6548594400E+001    2.6168824500E+001
      68    4.2809892900E+001    3.6657443700E+001    2.4344933600E+001
      69    3.9408211800E+001    4.6006827600E+001    2.3801766600E+001
      70    4.3317472700E+001    3.9223168300E+001    2.4369057900E+001
      71    4.3856303900E+001    4.5125814100E+001    2.2219164100E+001
      72    4.2350117600E+001    4.2808948600E+001    2.4434949800E+001
      73    4.0947675300E+001    4.4816298700E+001    2.3080163800E+001
      74    4.0215660700E+001    4.6207084200E+001    2.1905930800E+001
      75    3.6643660800E+001    4.6016366200E+001    2.3713107500E+001
      76    3.6082865100E+001    3.6515931300E+001    2.6048741300E+001
      77    3.5128140100E+001    3.5972623700E+001    2.4017213100E+001
      78    2.9846080600E+001    4.3290060100E+001    2.1361442200E+001
      79    3.0034041700E+001    4.0988483700E+001    2.3494147400E+001
      80    3.0000368900E+001    3.8671537400E+001    2.3110594600E+001
      81    3.2047691400E+001    3.5468207900E+001    2.2132398800E+001
      82    3.4121202300E+001    3.5450577100E+001    2.2065236300E+001
      83    3.6609248100E+001    3.5434068500E+001    2.2002026600E+001
      84    3.8664618800E+001    3.6005252700E+001    2.4137171800E+001
      85    4.1250115100E+001    3.5513680700E+001    2.2297063200E+001
      86    3.2208210700E+001    4.6209486800E+001    2.1887885400E+001
      87    4.3360070000E+001    4.1678326800E+001    2.4253152100E+001
      88    4.4032916600E+001    3.8532241700E+001    2.2399412700E+001
      89    3.1567520800E+001    4.3517078300E+001    2.1412423100E+001
      90    3.0761250500E+001    4.6169734800E+001    1.9934839900E+001
      91    2.9580238200E+001    4.3615687600E+001    1.8343454000E+001
      92    3.9036590700E+001    4.3485590400E+001    2.3849414300E+001
      93    3.6498513100E+001    4.2379768900E+001    2.4983676900E+001
      94    4.0840497100E+001    4.1371600700E+001    2.3617641200E+001
      95    3.4974439100E+001    3.8727455300E+001    2.5759740300E+001
      96    3.7662476200E+001    3.8938357800E+001    2.5394735600E+001
      97    3.2649552600E+001    4.0340649400E+001    2.4449456400E+001
      98    3.3442448500E+001    4.2189086700E+001    2.2990985000E+001
      99    3.4166042600E+001    4.4320835500E+001    2.2545090700E+001
     100    3.3724503300E+001    3.7667606300E+001    2.3320635300E+001
     101    4.0486778400E+001    3.8330024400E+001    2.3046123200E+001
     102    4.1864174200E+001    4.1007645600E+001    2.1638746200E+001
     103    4.4091158000E+001    4.2666942700E+001    2.2241364300E+001
     104    4.4822282900E+001    4.3665880100E+001    2.0229480000E+001
     105    4.2172596800E+001    4.3654933800E+001    2.0827167300E+001
     106    4.3912207200E+001    4.6111442700E+001    2.0042993600E+001
     107    3.9640424700E+001    4.3856588000E+001    2.1327671000E+001
     108    4.1061317300E+001    4.6409445700E+001    1.9990150500E+001
     109    3.4709194800E+001    4.6424216800E+001    1.9854070600E+001
     110    3.6913352200E+001    4.4420336400E+001    2.1027980700E+001
     111    3.8261373500E+001    4.6417541400E+001    1.9915169300E+001
     112    3.6728105700E+001    3.7469950800E+001    2.3450816300E+001
     113    3.5133470900E+001    3.6963997500E+001    2.1502223700E+001
     114    2.9791759700E+001    4.0755549600E+001    2.0743341900E+001
     115    3.2354898500E+001    3.9950643100E+001    2.1353067600E+001
     116    2.9771585900E+001    3.8035166900E+001    2.0512827800E+001
     117    3.2549474500E+001    3.7075559400E+001    2.0401622000E+001
     118    3.0565901000E+001    3.5301441200E+001    2.0120260100E+001
     119    3.3110430100E+001    3.4928568200E+001    2.0113402400E+001
     120    3.6438360200E+001    3.4865318300E+001    1.9874876000E+001
     121    3.8560928800E+001    3.7000324000E+001    2.1282822000E+001
     122    3.9740881500E+001    3.4925832600E+001    2.0099269800E+001
     123    4.1877370000E+001    3.7060372500E+001    2.1088795300E+001
     124    4.4050263600E+001    3.5370295300E+001    2.0308003100E+001
     125    3.2997643800E+001    4.3826132700E+001    1.9999557500E+001
     126    4.4790230700E+001    4.0331250800E+001    2.0315882200E+001
     127    4.4751784600E+001    3.7881681300E+001    2.0420364900E+001
     128    4.1888665600E+001    3.8883533000E+001    2.0562343200E+001
     129    3.1600106900E+001    4.2096438300E+001    1.9417031600E+001
     130    3.2642298900E+001    4.6627085600E+001    1.7935197100E+001
     131    3.0071007200E+001    4.6341073700E+001    1.5979638700E+001
     132    3.1646102800E+001    4.2895346300E+001    1.7284980200E+001
     133    3.2220645300E+001    4.4529755900E+001    1.6064954700E+001
     134    2.9496857300E+001    4.1341998900E+001    1.7395572200E+001
     135    2.9289885300E+001    4.3897194200E+001    1.5047169700E+001
     136    4.5461281500E+001    4.5040446800E+001    1.8295419000E+001
     137    4.1513009200E+001    4.6623407900E+001    1.7964804100E+001
     138    4.2488402800E+001    4.6823385900E+001    1.6071507100E+001
     139    4.5520445300E+001    4.6404926800E+001    1.6143096100E+001
