# 1 (TIME - s);1 (Temperature - ¡ÆC);# 2 (TIME - s);2 (Temperature - ¡ÆC);# 3 (TIME - s);3 (Temperature - ¡ÆC);# 4 (TIME - s);4 (Temperature - ¡ÆC);# 5 (TIME - s);5 (Temperature - ¡ÆC);# 6 (TIME - s);6 (Temperature - ¡ÆC);# 7 (TIME - s);7 (Temperature - ¡ÆC);# 8 (TIME - s);8 (Temperature - ¡ÆC);# 9 (TIME - s);9 (Temperature - ¡ÆC);# 10 (TIME - s);10 (Temperature - ¡ÆC);# 11 (TIME - s);11 (Temperature - ¡ÆC);# 12 (TIME - s);12 (Temperature - ¡ÆC)
0.00508436023;1120.19768;0.00508436023;1120.93282;0.00508436023;1072.82128;0.00508436023;1069.9701;0.00508436023;1215.17775;0.00508436023;1191.92471;0.00508436023;1190.8828;0.00508436023;1156.45693;0.00508436023;960.880894;0.00508436023;968.358077;0.00508436023;915.328018;0.00508436023;927.838749
0.00536682469;1120.17107;0.00536682469;1120.90592;0.00536682469;1072.80151;0.00536682469;1069.95922;0.00536682469;1215.15921;0.00536682469;1191.9051;0.00536682469;1190.86671;0.00536682469;1156.43912;0.00536682469;960.856123;0.00536682469;968.330207;0.00536682469;915.306477;0.00536682469;927.818535
0.00570578204;1120.13916;0.00570578204;1120.87372;0.00570578204;1072.77788;0.00570578204;1069.94634;0.00570578204;1215.13698;0.00570578204;1191.8814;0.00570578204;1190.84739;0.00570578204;1156.41777;0.00570578204;960.826343;0.00570578204;968.296868;0.00570578204;915.280627;0.00570578204;927.794225
0.0059882465;1120.11255;0.0059882465;1120.84679;0.0059882465;1072.75823;0.0059882465;1069.93559;0.0059882465;1215.11843;0.0059882465;1191.86169;0.0059882465;1190.83129;0.0059882465;1156.39996;0.0059882465;960.801612;0.0059882465;968.26912;0.0059882465;915.259126;0.0059882465;927.774063
0.00632720384;1120.0807;0.00632720384;1120.8146;0.00632720384;1072.73481;0.00632720384;1069.92288;0.00632720384;1215.0962;0.00632720384;1191.83809;0.00632720384;1190.81191;0.00632720384;1156.37862;0.00632720384;960.771955;0.00632720384;968.235916;0.00632720384;915.233357;0.00632720384;927.749849
0.00666616119;1120.0488;0.00666616119;1120.78242;0.00666616119;1072.71151;0.00666616119;1069.91018;0.00666616119;1215.07395;0.00666616119;1191.81446;0.00666616119;1190.79259;0.00666616119;1156.35722;0.00666616119;960.742343;0.00666616119;968.202788;0.00666616119;915.207696;0.00666616119;927.725699
0.00694862565;1120.02225;0.00694862565;1120.75554;0.00694862565;1072.69208;0.00694862565;1069.89967;0.00694862565;1215.05542;0.00694862565;1191.79475;0.00694862565;1190.77649;0.00694862565;1156.33946;0.00694862565;960.717672;0.00694862565;968.175229;0.00694862565;915.186395;0.00694862565;927.705523
0.007287583;1119.99041;0.007287583;1120.72336;0.007287583;1072.669;0.007287583;1069.88721;0.007287583;1215.03317;0.007287583;1191.77104;0.007287583;1190.75711;0.007287583;1156.31811;0.007287583;960.68811;0.007287583;968.142164;0.007287583;915.160779;0.007287583;927.681449
0.00757004774;1119.96389;0.00757004774;1120.69659;0.00757004774;1072.6509;0.00757004774;1069.87796;0.00757004774;1215.03601;0.00757004774;1191.77056;0.00757004774;1190.79225;0.00757004774;1156.32193;0.00757004774;960.663479;0.00757004774;968.114752;0.00757004774;915.139441;0.00757004774;927.661318
0.00790900653;1119.93309;0.00790900653;1120.66668;0.00790900653;1072.63797;0.00790900653;1069.87557;0.00790900653;1215.09998;0.00790900653;1191.82609;0.00790900653;1190.93317;0.00790900653;1156.4136;0.00790900653;960.633977;0.00790900653;968.081868;0.00790900653;915.113868;0.00790900653;927.637244
