# 1 (TIME - s);1 (Effective plastic strain rate - 1/s);# 2 (TIME - s);2 (Effective plastic strain rate - 1/s);# 3 (TIME - s);3 (Effective plastic strain rate - 1/s);# 4 (TIME - s);4 (Effective plastic strain rate - 1/s);# 5 (TIME - s);5 (Effective plastic strain rate - 1/s);# 6 (TIME - s);6 (Effective plastic strain rate - 1/s);# 7 (TIME - s);7 (Effective plastic strain rate - 1/s);# 8 (TIME - s);8 (Effective plastic strain rate - 1/s);# 9 (TIME - s);9 (Effective plastic strain rate - 1/s);# 10 (TIME - s);10 (Effective plastic strain rate - 1/s);# 11 (TIME - s);11 (Effective plastic strain rate - 1/s);# 12 (TIME - s);12 (Effective plastic strain rate - 1/s)
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.000338957349;0;0.000338957349;0;0.000338957349;4.72973653e-05;0.000338957349;0.000107936643;0.000338957349;0;0.000338957349;0;0.000338957349;0;0.000338957349;0;0.000338957349;0;0.000338957349;0;0.000338957349;0;0.000338957349;0
0.000677914698;0;0.000677914698;0;0.000677914698;6.65144831e-05;0.000677914698;0.000146648581;0.000677914698;0;0.000677914698;0;0.000677914698;0;0.000677914698;0;0.000677914698;0;0.000677914698;0;0.000677914698;0;0.000677914698;0
0.000960379155;0;0.000960379155;0;0.000960379155;8.45632741e-05;0.000960379155;0.000132026833;0.000960379155;0;0.000960379155;0;0.000960379155;0;0.000960379155;0;0.000960379155;0;0.000960379155;0;0.000960379155;0;0.000960379155;0
0.0012993365;0;0.0012993365;0;0.0012993365;6.5445536e-05;0.0012993365;0.000105196396;0.0012993365;0;0.0012993365;0;0.0012993365;0;0.0012993365;0;0.0012993365;0;0.0012993365;0;0.0012993365;0;0.0012993365;0
0.00158180096;0;0.00158180096;0;0.00158180096;2.88705424e-05;0.00158180096;0.000154480578;0.00158180096;0;0.00158180096;0;0.00158180096;0;0.00158180096;0;0.00158180096;0;0.00158180096;0;0.00158180096;0;0.00158180096;0
0.00192075831;0;0.00192075831;0;0.00192075831;9.69278827e-05;0.00192075831;0.000119459252;0.00192075831;0;0.00192075831;0;0.00192075831;0;0.00192075831;0;0.00192075831;0;0.00192075831;0;0.00192075831;0;0.00192075831;0
0.00225971566;0;0.00225971566;0;0.00225971566;6.19547057e-05;0.00225971566;8.931285e-05;0.00225971566;0;0.00225971566;0;0.00225971566;0;0.00225971566;0;0.00225971566;0;0.00225971566;0;0.00225971566;0;0.00225971566;0
0.00254218012;0;0.00254218012;0;0.00254218012;6.56733298e-05;0.00254218012;0.000167054803;0.00254218012;0;0.00254218012;0;0.00254218012;0;0.00254218012;0;0.00254218012;0;0.00254218012;0;0.00254218012;0;0.00254218012;0
0.00288113746;0;0.00288113746;0;0.00288113746;2.65286907e-05;0.00288113746;0.00016746029;0.00288113746;0;0.00288113746;0;0.00288113746;0;0.00288113746;0;0.00288113746;0;0.00288113746;0;0.00288113746;0;0.00288113746;0
0.00316360192;0;0.00316360192;0;0.00316360192;0.000101213989;0.00316360192;9.27875419e-05;0.00316360192;0;0.00316360192;0;0.00316360192;0;0.00316360192;0;0.00316360192;0;0.00316360192;0;0.00316360192;0;0.00316360192;0
0.00350255927;0;0.00350255927;0;0.00350255927;5.81783594e-05;0.00350255927;7.61226215e-05;0.00350255927;0;0.00350255927;0;0.00350255927;0;0.00350255927;0;0.00350255927;0;0.00350255927;0;0.00350255927;0;0.00350255927;0
0.00378502373;0;0.00378502373;0;0.00378502373;5.73659661e-05;0.00378502373;0.000109397797;0.00378502373;0;0.00378502373;0;0.00378502373;0;0.00378502373;0;0.00378502373;0;0.00378502373;0;0.00378502373;0;0.00378502373;0
0.00412398108;0;0.00412398108;0;0.00412398108;2.46364902e-05;0.00412398108;8.74908226e-05;0.00412398108;0;0.00412398108;0;0.00412398108;0;0.00412398108;0;0.00412398108;0;0.00412398108;0;0.00412398108;0;0.00412398108;0
0.00446293843;0;0.00446293843;0;0.00446293843;0.000101012977;0.00446293843;0.000106119753;0.00446293843;0;0.00446293843;0;0.00446293843;0;0.00446293843;0;0.00446293843;0;0.00446293843;0;0.00446293843;0;0.00446293843;0
0.00474540288;0;0.00474540288;0;0.00474540288;8.36215337e-05;0.00474540288;0.000166159699;0.00474540288;0;0.00474540288;0;0.00474540288;0;0.00474540288;0;0.00474540288;0;0.00474540288;0;0.00474540288;0;0.00474540288;0
0.00508436023;0;0.00508436023;0;0.00508436023;9.95687124e-05;0.00508436023;0.000130267419;0.00508436023;0;0.00508436023;0;0.00508436023;0;0.00508436023;0;0.00508436023;0;0.00508436023;0;0.00508436023;0;0.00508436023;0
0.00536682469;0;0.00536682469;0;0.00536682469;2.54611394e-05;0.00536682469;0.000107745573;0.00536682469;0;0.00536682469;0;0.00536682469;0;0.00536682469;0;0.00536682469;0;0.00536682469;0;0.00536682469;0;0.00536682469;0
0.00570578204;0;0.00570578204;0;0.00570578204;2.05806808e-05;0.00570578204;7.91160707e-05;0.00570578204;0;0.00570578204;0;0.00570578204;0;0.00570578204;0;0.00570578204;0;0.00570578204;0;0.00570578204;0;0.00570578204;0
0.0059882465;0;0.0059882465;0;0.0059882465;6.5195232e-05;0.0059882465;0.000121789018;0.0059882465;0;0.0059882465;0;0.0059882465;0;0.0059882465;0;0.0059882465;0;0.0059882465;0;0.0059882465;0;0.0059882465;0
0.00632720384;0;0.00632720384;0;0.00632720384;2.11709765e-05;0.00632720384;0.000107205149;0.00632720384;0;0.00632720384;0;0.00632720384;0;0.00632720384;0;0.00632720384;0;0.00632720384;0;0.00632720384;0;0.00632720384;0
0.00666616119;0;0.00666616119;0;0.00666616119;6.35276613e-05;0.00666616119;0.000113659271;0.00666616119;0;0.00666616119;0;0.00666616119;0;0.00666616119;0;0.00666616119;0;0.00666616119;0;0.00666616119;0;0.00666616119;0
0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;5.70544747e-05;0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;0;0.00694862565;0
0.007287583;0.000429936707;0.007287583;0.000600606136;0.007287583;0.0411347504;0.007287583;0.0410776308;0.007287583;0.0284848124;0.007287583;0.0385192626;0.007287583;0.186011234;0.007287583;0.00954716422;0.007287583;0;0.007287583;0;0.007287583;0;0.007287583;0
0.00757004774;0.0247408702;0.00757004774;0.0780177802;0.00757004774;0.523503796;0.00757004774;0.480030367;0.00757004774;7.24741082;0.00757004774;6.3066404;0.00757004774;13.1262586;0.00757004774;6.73830346;0.00757004774;0;0.00757004774;0;0.00757004774;0;0.00757004774;0
0.00790900653;0.298309231;0.00790900653;0.541775148;0.00790900653;1.32135279;0.00790900653;1.20859486;0.00790900653;6.22299335;0.00790900653;6.91472556;0.00790900653;10.9528704;0.00790900653;8.86703723;0.00790900653;0;0.00790900653;0;0.00790900653;0.000487347272;0.00790900653;0
0.0081914736;0.919348012;0.0081914736;1.12911048;0.0081914736;1.71923732;0.0081914736;1.60468727;0.0081914736;5.08441502;0.0081914736;5.66552367;0.0081914736;6.26101161;0.0081914736;7.78103117;0.0081914736;0;0.0081914736;0;0.0081914736;0.0661366644;0.0081914736;0.00125307179
0.00853043647;1.17326732;0.00853043647;1.29099621;0.00853043647;1.76577065;0.00853043647;1.65036034;0.00853043647;4.16259079;0.00853043647;4.09372959;0.00853043647;5.265903;0.00853043647;6.51130475;0.00853043647;0.0357848996;0.00853043647;0;0.00853043647;0.627424415;0.00853043647;0.133058967
