# 1 (TIME - s);1 (Effective plastic strain - -);# 2 (TIME - s);2 (Effective plastic strain - -);# 3 (TIME - s);3 (Effective plastic strain - -);# 4 (TIME - s);4 (Effective plastic strain - -);# 5 (TIME - s);5 (Effective plastic strain - -);# 6 (TIME - s);6 (Effective plastic strain - -);# 7 (TIME - s);7 (Effective plastic strain - -);# 8 (TIME - s);8 (Effective plastic strain - -);# 9 (TIME - s);9 (Effective plastic strain - -);# 10 (TIME - s);10 (Effective plastic strain - -);# 11 (TIME - s);11 (Effective plastic strain - -);# 12 (TIME - s);12 (Effective plastic strain - -)
0;3.12074187;0;3.41229573;0;3.20559968;0;3.11073366;0;4.48553218;0;3.15514833;0;3.17197884;0;2.54454603;0;2.75138986;0;1.84156301;0;1.19065677;0;1.06193422
0.000338957349;3.12074177;0.000338957349;3.41229568;0.000338957349;3.20559975;0.000338957349;3.11073372;0.000338957349;4.48553192;0.000338957349;3.15514831;0.000338957349;3.17197887;0.000338957349;2.54454601;0.000338957349;2.75138978;0.000338957349;1.84156259;0.000338957349;1.19065717;0.000338957349;1.06193423
0.000677914698;3.12074177;0.000677914698;3.41229568;0.000677914698;3.20559975;0.000677914698;3.11073372;0.000677914698;4.48553192;0.000677914698;3.15514831;0.000677914698;3.17197887;0.000677914698;2.54454601;0.000677914698;2.7513899;0.000677914698;1.84156261;0.000677914698;1.19065717;0.000677914698;1.06193423
0.000960379155;3.12074177;0.000960379155;3.41229568;0.000960379155;3.20559975;0.000960379155;3.11073372;0.000960379155;4.48553192;0.000960379155;3.15514825;0.000960379155;3.17197887;0.000960379155;2.54454601;0.000960379155;2.7513899;0.000960379155;1.84156261;0.000960379155;1.19065717;0.000960379155;1.06193423
0.0012993365;3.12074177;0.0012993365;3.41229568;0.0012993365;3.20559975;0.0012993365;3.11073372;0.0012993365;4.48553192;0.0012993365;3.15514825;0.0012993365;3.17197887;0.0012993365;2.54454601;0.0012993365;2.7513899;0.0012993365;1.84156261;0.0012993365;1.19065717;0.0012993365;1.06193423
0.00158180096;3.12074177;0.00158180096;3.41229568;0.00158180096;3.20559975;0.00158180096;3.11073381;0.00158180096;4.48553192;0.00158180096;3.15514825;0.00158180096;3.17197887;0.00158180096;2.54454601;0.00158180096;2.75138986;0.00158180096;1.84156261;0.00158180096;1.19065717;0.00158180096;1.06193423
0.00192075831;3.12074177;0.00192075831;3.41229578;0.00192075831;3.20559975;0.00192075831;3.11073395;0.00192075831;4.48553192;0.00192075831;3.15514825;0.00192075831;3.17197887;0.00192075831;2.54454601;0.00192075831;2.75138986;0.00192075831;1.84156261;0.00192075831;1.19065717;0.00192075831;1.06193423
0.00225971566;3.12074188;0.00225971566;3.41229578;0.00225971566;3.20559975;0.00225971566;3.11073395;0.00225971566;4.48553192;0.00225971566;3.15514825;0.00225971566;3.17197887;0.00225971566;2.54454601;0.00225971566;2.75138986;0.00225971566;1.84156268;0.00225971566;1.19065717;0.00225971566;1.06193423
0.00254218012;3.12074188;0.00254218012;3.41229578;0.00254218012;3.20559975;0.00254218012;3.11073395;0.00254218012;4.48553192;0.00254218012;3.15514825;0.00254218012;3.17197887;0.00254218012;2.54454601;0.00254218012;2.7513899;0.00254218012;1.84156268;0.00254218012;1.19065717;0.00254218012;1.06193423
0.00288113746;3.12074189;0.00288113746;3.41229582;0.00288113746;3.20559975;0.00288113746;3.11073405;0.00288113746;4.48553192;0.00288113746;3.15514825;0.00288113746;3.17197887;0.00288113746;2.54454601;0.00288113746;2.75138986;0.00288113746;1.84156268;0.00288113746;1.19065717;0.00288113746;1.06193423
0.00316360192;3.12074189;0.00316360192;3.41229582;0.00316360192;3.20559976;0.00316360192;3.11073405;0.00316360192;4.48553192;0.00316360192;3.15514825;0.00316360192;3.17197887;0.00316360192;2.54454601;0.00316360192;2.7513899;0.00316360192;1.84156268;0.00316360192;1.19065717;0.00316360192;1.06193423
0.00350255927;3.12074189;0.00350255927;3.41229582;0.00350255927;3.20559976;0.00350255927;3.11073405;0.00350255927;4.48553192;0.00350255927;3.15514825;0.00350255927;3.17197887;0.00350255927;2.54454601;0.00350255927;2.75138986;0.00350255927;1.8415627;0.00350255927;1.19065717;0.00350255927;1.06193426
0.00378502373;3.12074189;0.00378502373;3.41229582;0.00378502373;3.20559976;0.00378502373;3.11073405;0.00378502373;4.48553192;0.00378502373;3.15514825;0.00378502373;3.17197887;0.00378502373;2.54454601;0.00378502373;2.7513899;0.00378502373;1.8415627;0.00378502373;1.19065717;0.00378502373;1.06193426
0.00412398108;3.12074189;0.00412398108;3.41229582;0.00412398108;3.20559976;0.00412398108;3.11073415;0.00412398108;4.48553192;0.00412398108;3.15514825;0.00412398108;3.17197887;0.00412398108;2.5445459;0.00412398108;2.75138986;0.00412398108;1.8415627;0.00412398108;1.19065717;0.00412398108;1.06193426
0.00446293843;3.12074189;0.00446293843;3.41229582;0.00446293843;3.20559976;0.00446293843;3.11073415;0.00446293843;4.48553192;0.00446293843;3.15514825;0.00446293843;3.17197887;0.00446293843;2.5445459;0.00446293843;2.75138992;0.00446293843;1.8415627;0.00446293843;1.19065717;0.00446293843;1.06193426
0.00474540288;3.12074189;0.00474540288;3.41229582;0.00474540288;3.20559976;0.00474540288;3.11073428;0.00474540288;4.48553192;0.00474540288;3.15514821;0.00474540288;3.17197887;0.00474540288;2.5445459;0.00474540288;2.75138992;0.00474540288;1.8415627;0.00474540288;1.19065717;0.00474540288;1.06193426
0.00508436023;3.12074189;0.00508436023;3.41229582;0.00508436023;3.20559976;0.00508436023;3.11073428;0.00508436023;4.48553192;0.00508436023;3.15514821;0.00508436023;3.17197887;0.00508436023;2.5445459;0.00508436023;2.75138992;0.00508436023;1.8415627;0.00508436023;1.19065717;0.00508436023;1.06193426
